27
Acre;164122.2;795145;4835747;0.751
Alagoas;27767.7;3327551;15763636;0.677
Amapá;142814.6;756500;5260535;0.78
Amazonas;1570745.7;3893763;39766086;0.78
Bahia;564692.7;15150143;96559993;0.742
Ceará;148825.6;8867448;46310492;0.723
Distrito Federal;5822.1;2867869;89630682;0.874
Espírito Santo;46077.5;3894899;52782914;0.802
Goiás;340086.7;6551322;57091081;0.8
Maranhão;331983.3;6861924;28621860;0.683
Mato Grosso;903357.9;3236578;35284137;0.796
Mato Grosso do Sul;357125.0;2630098;24355772;0.802
Minas Gerais;586528.3;20777672;214814905;0.8
Pará;1247689.5;8101180;44376461;0.755
Paraíba;56439.8;3950359;19953193;0.718
Paraná;199314.9;11112062;136681933;0.82
Pernambuco;98311.6;9297861;55505760;0.718
Piauí;251529.2;3198185;12790892;0.703
Rio de Janeiro;43696.1;16497395;275363060;0.832
Rio Grande do Norte;52796.8;3419550;20557263;0.738
Rio Grande do Sul;281748.5;11228091;156883171;0.832
Rondônia;237576.2;1755015;13110169;0.776
Roraima;224299.0;500826;3660611;0.75
Santa Catarina;95346.2;6734568;93193324;0.84
São Paulo;248209.4;44169350;802552824;0.833
Sergipe;21910.3;2227294;15126169;0.742
Tocantins;277620.9;1502759;9607624;0.756
